Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	4.49925141643752	4.95788478662922	0	22050
2	Spectrogram 1	1	12.0115499104635	12.5224326519429	0	22050
3	Spectrogram 1	1	15.9708911569286	16.2959983560518	0	22050
4	Spectrogram 1	1	16.3250257845449	16.4759684127093	0	22050
5	Spectrogram 1	1	18.6065816641062	18.780746235065	0	22050
6	Spectrogram 1	1	18.8736340062431	18.9781327488184	0	22050
7	Spectrogram 1	1	23.7502419930915	24.1740424490914	0	22050
8	Spectrogram 1	1	25.8169949018034	25.9505210728719	0	22050
9	Spectrogram 1	1	26.2175734150089	26.3220721575842	0	22050
10	Spectrogram 1	1	27.4135034689264	27.7037777538579	0	22050
11	Spectrogram 1	1	35.2044652764866	35.8140412748427	0	22050
12	Spectrogram 1	1	39.3728040081023	39.9069086923762	0	22050
13	Spectrogram 1	1	43.7211127963755	44.1971626236631	0	22050
14	Spectrogram 1	1	46.263915532375	46.374219760649	0	22050
15	Spectrogram 1	1	47.6862595285391	47.9591173563747	0	22050
16	Spectrogram 1	1	47.970728327772	48.1623093558267	0	22050
17	Spectrogram 1	1	52.6731717436615	53.0505283140724	0	22050
18	Spectrogram 1	1	53.0621392854696	53.1956654565381	0	22050
19	Spectrogram 1	1	55.1114757370857	55.5584981358801	0	22050
20	Spectrogram 1	1	57.8226375583455	58.1941886430577	0	22050
21	Spectrogram 1	1	84.1447097159297	84.249208458505	0	22050
22	Spectrogram 1	1	84.3130688011899	84.5452882291351	0	22050
23	Spectrogram 1	1	86.1476022819567	86.7049289090251	0	22050
24	Spectrogram 1	1	89.0503451312712	89.3406194162027	0	22050
25	Spectrogram 1	1	89.3522303875999	89.4567291301752	0	22050
26	Spectrogram 1	1	92.4001103793802	92.8006888925856	0	22050
27	Spectrogram 1	1	92.8122998639829	92.9632424921472	0	22050
28	Spectrogram 1	1	97.6192420224477	97.8920998502833	0	22050
29	Spectrogram 1	1	98.0024040785572	98.1069028211326	0	22050
30	Spectrogram 1	1	100.632289100036	100.916757899269	0	22050
31	Spectrogram 1	1	101.044478584639	101.160588298611	0	22050
32	Spectrogram 1	1	105.073485659487	105.265066687542	0	22050
33	Spectrogram 1	1	105.35795445872	105.462453201296	0	22050
34	Spectrogram 1	1	110.344866673843	110.478392844911	0	22050
